"Name","IconSWF","IconExportName","IconLayer0","IconLayer1","IconLayer2"
"String","String","String","String","String","String"
1,"sc/ui.sc","badge1","badge1","Pattern3","Foreground1"
2,"sc/ui.sc","badge2","badge1","Pattern2","Foreground1"
3,"sc/ui.sc","badge3","badge2","Pattern4","Foreground1"
4,"sc/ui.sc","badge4","badge1","Pattern5","Foreground1"
5,"sc/ui.sc","badge5","badge3","Pattern6","Foreground1"
6,"sc/ui.sc","badge6","badge4","Pattern7","Foreground1"
7,"sc/ui.sc","badge7","badge5","Pattern8","Foreground1"
8,"sc/ui.sc","badge8","badge6","Pattern9","Foreground1"
9,"sc/ui.sc","badge9","badge1","Pattern10","Foreground1"
10,"sc/ui.sc","badge10","badge2","Pattern11","Foreground1"
11,"sc/ui.sc","badge11","badge7","Pattern12","Foreground1"
12,"sc/ui.sc","badge12","badge6","Pattern13","Foreground1"
13,"sc/ui.sc","badge13","badge1","Pattern14","Foreground1"
14,"sc/ui.sc","badge14","badge2","Pattern15","Foreground1"
15,"sc/ui.sc","badge15","badge5","Pattern16","Foreground1"
16,"sc/ui.sc","badge16","badge5","Pattern49","Foreground1"
17,"sc/ui.sc","badge17","badge11","Pattern18","Foreground1"
18,"sc/ui.sc","badge18","badge2","Pattern17","Foreground1"
19,"sc/ui.sc","badge19","badge4","Pattern19","Foreground1"
20,"sc/ui.sc","badge20","badge8","Pattern20","Foreground1"
21,"sc/ui.sc","badge21","badge7","Pattern21","Foreground1"
22,"sc/ui.sc","badge22","badge10","Pattern22","Foreground1"
23,"sc/ui.sc","badge23","badge9","Pattern23","Foreground1"
24,"sc/ui.sc","badge24","badge10","Pattern24","Foreground1"
25,"sc/ui.sc","badge25","badge2","Pattern25","Foreground1"
26,"sc/ui.sc","badge26","badge11","Pattern26","Foreground1"
27,"sc/ui.sc","badge27","badge2","Pattern27","Foreground1"
28,"sc/ui.sc","badge28","badge8","Pattern28","Foreground1"
29,"sc/ui.sc","badge29","badge3","Pattern50","Foreground1"
30,"sc/ui.sc","badge30","badge1","Pattern29","Foreground1"
31,"sc/ui.sc","badge31","badge9","Pattern31","Foreground1"
32,"sc/ui.sc","badge32","badge10","Pattern30","Foreground1"
33,"sc/ui.sc","badge33","badge10","Pattern32","Foreground1"
34,"sc/ui.sc","badge34","badge7","Pattern33","Foreground1"
35,"sc/ui.sc","badge35","badge5","Pattern34","Foreground1"
36,"sc/ui.sc","badge36","badge5","Pattern35","Foreground1"
37,"sc/ui.sc","badge37","badge4","Pattern36","Foreground1"
38,"sc/ui.sc","badge38","badge12","Pattern37","Foreground1"
39,"sc/ui.sc","badge39","badge9","Pattern38","Foreground1"
40,"sc/ui.sc","badge40","badge10","Pattern38","Foreground1"
41,"sc/ui.sc","badge41","badge7","Pattern39","Foreground1"
42,"sc/ui.sc","badge42","badge5","Pattern40","Foreground1"
43,"sc/ui.sc","badge43","badge8","Pattern41","Foreground1"
44,"sc/ui.sc","badge44","badge9","Pattern41","Foreground1"
45,"sc/ui.sc","badge45","badge5","Pattern42","Foreground1"
46,"sc/ui.sc","badge46","badge5","Pattern43","Foreground1"
47,"sc/ui.sc","badge47","badge4","Pattern44","Foreground1"
48,"sc/ui.sc","badge48","badge11","Pattern45","Foreground1"
49,"sc/ui.sc","badge49","badge2","Pattern48","Foreground1"
50,"sc/ui.sc","badge50","badge7","Pattern47","Foreground1"
