"Name","TID","TIDShort","IconSWF","IconExportName","LeagueBannerIcon","LeagueBannerIconNum","LeagueBannerIconHUD","GoldReward","ElixirReward","DarkElixirReward","UseStarBonus","GoldRewardStarBonus","ElixirRewardStarBonus","DarkElixirRewardStarBonus","PlacementLimitLow","PlacementLimitHigh","DemoteLimit","PromoteLimit","BucketPlacementRangeLow","BucketPlacementRangeHigh","BucketPlacementSoftLimit","BucketPlacementHardLimit","IgnoredByServer","DemoteEnabled","PromoteEnabled","AllocateAmount","SaverCount","VillageGuardInMins"
"String","String","String","String","String","String","String","String","Int","Int","Int","boolean","Int","Int","Int","Int","Int","Int","Int","Int","Int","Int","Int","boolean","boolean","boolean","Int","Int","Int"
"Unranked","TID_LEAGUE_UNRANKED",,"sc/ui.sc","icon_league_none1","icon_league_none_big","icon_league_none_big","icon_league_none_big",0,0,0,"true",10000,10000,0,0,399,0,400,0,399,100,100,"TRUE","FALSE","TRUE",0,0,30
"Bronze3","TID_LEAGUE_BRONZE3","TID_LEAGUE_BRONZE3_SHORT","sc/ui.sc","icon_league_bronze3","icon_league_bronze","icon_league_bronze_big3","icon_league_bronze_big3",700,700,0,"true",30000,30000,0,400,499,300,500,400,424,25,30,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,425,449,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,450,474,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,475,499,25,30,,,,,,
"Bronze2","TID_LEAGUE_BRONZE2","TID_LEAGUE_BRONZE2_SHORT","sc/ui.sc","icon_league_bronze2","icon_league_bronze","icon_league_bronze_big2","icon_league_bronze_big2",1000,1000,0,"true",40000,40000,0,500,599,450,600,500,524,25,30,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,525,549,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,550,574,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,575,599,25,30,,,,,,
"Bronze1","TID_LEAGUE_BRONZE1","TID_LEAGUE_BRONZE1_SHORT","sc/ui.sc","icon_league_bronze1","icon_league_bronze","icon_league_bronze_big1","icon_league_bronze_big1",1300,1300,0,"true",50000,50000,0,600,799,550,800,600,649,25,30,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,650,699,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,700,749,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,750,799,25,30,,,,,,
"Silver3","TID_LEAGUE_SILVER3","TID_LEAGUE_SILVER3_SHORT","sc/ui.sc","icon_league_silver3","icon_league_silver","icon_league_silver_big3","icon_league_silver_big3",2600,2600,0,"true",60000,60000,0,800,999,700,1000,800,849,25,30,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,850,899,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,900,949,25,30,,,,,,
,,,,,,,,,,,,,,,,,,,950,999,25,30,,,,,,
"Silver2","TID_LEAGUE_SILVER2","TID_LEAGUE_SILVER2_SHORT","sc/ui.sc","icon_league_silver2","icon_league_silver","icon_league_silver_big2","icon_league_silver_big2",3700,3700,0,"true",80000,80000,0,1000,1199,900,1200,1000,1049,28,33,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,1050,1099,26,31,,,,,,
,,,,,,,,,,,,,,,,,,,1100,1149,24,29,,,,,,
,,,,,,,,,,,,,,,,,,,1150,1199,22,27,,,,,,
"Silver1","TID_LEAGUE_SILVER1","TID_LEAGUE_SILVER1_SHORT","sc/ui.sc","icon_league_silver1","icon_league_silver","icon_league_silver_big1","icon_league_silver_big1",4800,4800,0,"true",100000,100000,0,1200,1399,1100,1400,1200,1249,31,36,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,1250,1299,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,1300,1349,23,28,,,,,,
,,,,,,,,,,,,,,,,,,,1350,1399,19,24,,,,,,
"Gold3","TID_LEAGUE_GOLD3","TID_LEAGUE_GOLD3_SHORT","sc/ui.sc","icon_league_gold3","icon_league_gold","icon_league_gold_big3","icon_league_gold_big3",10000,10000,0,"true",120000,120000,200,1400,1599,1300,1600,1400,1449,35,40,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,1450,1499,28,33,,,,,,
,,,,,,,,,,,,,,,,,,,1500,1549,21,26,,,,,,
,,,,,,,,,,,,,,,,,,,1550,1599,16,21,,,,,,
"Gold2","TID_LEAGUE_GOLD2","TID_LEAGUE_GOLD2_SHORT","sc/ui.sc","icon_league_gold2","icon_league_gold","icon_league_gold_big2","icon_league_gold_big2",13500,13500,0,"true",140000,140000,400,1600,1799,1500,1800,1600,1649,36,41,"FALSE","TRUE","TRUE",100,20,30
,,,,,,,,,,,,,,,,,,,1650,1699,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,1700,1749,21,26,,,,,,
,,,,,,,,,,,,,,,,,,,1750,1799,16,21,,,,,,
"Gold1","TID_LEAGUE_GOLD1","TID_LEAGUE_GOLD1_SHORT","sc/ui.sc","icon_league_gold1","icon_league_gold","icon_league_gold_big1","icon_league_gold_big1",17000,17000,0,"true",160000,160000,600,1800,1999,1700,2000,1800,1849,34,39,"FALSE","TRUE","TRUE",50,10,30
,,,,,,,,,,,,,,,,,,,1850,1899,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,1900,1949,21,26,,,,,,
,,,,,,,,,,,,,,,,,,,1950,1999,18,23,,,,,,
"Diamond3","TID_LEAGUE_CRYSTAL3","TID_LEAGUE_CRYSTAL3_SHORT","sc/ui.sc","icon_league_crystal3","icon_league_crystal","icon_league_crystal_big3","icon_league_crystal_big3",40000,40000,120,"true",180000,180000,800,2000,2199,1900,2200,2000,2049,34,39,"FALSE","TRUE","TRUE",50,10,30
,,,,,,,,,,,,,,,,,,,2050,2099,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,2100,2149,22,27,,,,,,
,,,,,,,,,,,,,,,,,,,2150,2199,17,22,,,,,,
"Diamond2","TID_LEAGUE_CRYSTAL2","TID_LEAGUE_CRYSTAL2_SHORT","sc/ui.sc","icon_league_crystal2","icon_league_crystal","icon_league_crystal_big2","icon_league_crystal_big2",55000,55000,220,"true",200000,200000,1000,2200,2399,2100,2400,2200,2249,34,39,"FALSE","TRUE","TRUE",50,10,30
,,,,,,,,,,,,,,,,,,,2250,2299,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,2300,2349,22,27,,,,,,
,,,,,,,,,,,,,,,,,,,2350,2399,17,22,,,,,,
"Diamond1","TID_LEAGUE_CRYSTAL1","TID_LEAGUE_CRYSTAL1_SHORT","sc/ui.sc","icon_league_crystal1","icon_league_crystal","icon_league_crystal_big1","icon_league_crystal_big1",70000,70000,320,"true",220000,220000,1100,2400,2599,2300,2600,2400,2449,31,36,"FALSE","TRUE","TRUE",50,5,30
,,,,,,,,,,,,,,,,,,,2450,2499,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,2500,2549,23,28,,,,,,
,,,,,,,,,,,,,,,,,,,2550,2599,19,24,,,,,,
"Masters3","TID_LEAGUE_MASTER3","TID_LEAGUE_MASTER3_SHORT","sc/ui.sc","icon_league_master3","icon_league_master","icon_league_master_big3","icon_league_master_big3",110000,110000,560,"true",240000,240000,1200,2600,2799,2500,2800,2600,2649,34,39,"FALSE","TRUE","TRUE",50,5,30
,,,,,,,,,,,,,,,,,,,2650,2699,27,32,,,,,,
,,,,,,,,,,,,,,,,,,,2700,2749,20,25,,,,,,
,,,,,,,,,,,,,,,,,,,2750,2799,19,24,,,,,,
"Masters2","TID_LEAGUE_MASTER2","TID_LEAGUE_MASTER2_SHORT","sc/ui.sc","icon_league_master2","icon_league_master","icon_league_master_big2","icon_league_master_big2",135000,135000,740,"true",260000,260000,1300,2800,2999,2700,3000,2800,2849,32,37,"FALSE","TRUE","TRUE",50,5,30
,,,,,,,,,,,,,,,,,,,2850,2899,26,31,,,,,,
,,,,,,,,,,,,,,,,,,,2900,2949,22,27,,,,,,
,,,,,,,,,,,,,,,,,,,2950,2999,20,25,,,,,,
"Masters1","TID_LEAGUE_MASTER1","TID_LEAGUE_MASTER1_SHORT","sc/ui.sc","icon_league_master1","icon_league_master","icon_league_master_big1","icon_league_master_big1",160000,160000,920,"true",280000,280000,1400,3000,3199,2900,3200,3000,3049,36,41,"FALSE","TRUE","TRUE",50,5,30
,,,,,,,,,,,,,,,,,,,3050,3099,24,29,,,,,,
,,,,,,,,,,,,,,,,,,,3100,3149,24,29,,,,,,
,,,,,,,,,,,,,,,,,,,3150,3199,16,21,,,,,,
"Champion3","TID_LEAGUE_CHAMPION3","TID_LEAGUE_CHAMPION3_SHORT","sc/ui.sc","icon_league_champion3","icon_league_champion","icon_league_champion_big3","icon_league_champion_big3",200000,200000,1220,"true",300000,300000,1500,3200,3499,3100,3500,3200,3299,57,66,"FALSE","TRUE","TRUE",10,3,60
,,,,,,,,,,,,,,,,,,,3300,3399,26,33,,,,,,
,,,,,,,,,,,,,,,,,,,3400,3499,17,21,,,,,,
"Champion2","TID_LEAGUE_CHAMPION2","TID_LEAGUE_CHAMPION2_SHORT","sc/ui.sc","icon_league_champion2","icon_league_champion","icon_league_champion_big2","icon_league_champion_big2",225000,225000,1400,"true",320000,320000,1600,3500,3799,3400,3800,3500,3599,44,54,"FALSE","TRUE","TRUE",10,3,60
,,,,,,,,,,,,,,,,,,,3600,3699,33,39,,,,,,
,,,,,,,,,,,,,,,,,,,3700,3799,23,27,,,,,,
"Champion1","TID_LEAGUE_CHAMPION1","TID_LEAGUE_CHAMPION1_SHORT","sc/ui.sc","icon_league_champion1","icon_league_champion","icon_league_champion_big1","icon_league_champion_big1",250000,250000,1580,"true",340000,340000,1700,3800,4099,3700,4100,3800,3899,45,53,"FALSE","TRUE","TRUE",10,3,60
,,,,,,,,,,,,,,,,,,,3900,3999,27,33,,,,,,
,,,,,,,,,,,,,,,,,,,4000,4099,28,34,,,,,,
"Hero3","TID_LEAGUE_HERO3","TID_LEAGUE_HERO3_SHORT","sc/ui.sc","icon_league_legend3","icon_league_legend","icon_league_legend_big3","icon_league_legend_big3",280000,280000,1880,"true",360000,360000,1800,4100,4399,4000,4400,4100,4699,100,100,"FALSE","TRUE","TRUE",5,3,120
"Hero2","TID_LEAGUE_HERO2","TID_LEAGUE_HERO2_SHORT","sc/ui.sc","icon_league_legend2","icon_league_legend","icon_league_legend_big2","icon_league_legend_big2",300000,300000,2060,"true",360000,360000,1800,4400,4699,4300,4700,4400,4399,100,100,"FALSE","TRUE","TRUE",5,3,180
"Hero1","TID_LEAGUE_HERO1","TID_LEAGUE_HERO1_SHORT","sc/ui.sc","icon_league_legend1","icon_league_legend","icon_league_legend_big1","icon_league_legend_big1",320000,320000,2240,"true",360000,360000,1800,4700,4999,4600,5000,4700,4999,100,100,"FALSE","TRUE","TRUE",5,3,240
"Legendary","TID_LEAGUE_LEGENDARY","TID_LEAGUE_LEGENDARY_SHORT","sc/ui.sc","icon_league_immortal","icon_league_immortal_big","icon_league_immortal_big","icon_league_immortal_hud",340000,340000,2400,"true",360000,360000,1800,5000,10000000,4900,10000000,5000,10000000,100,100,"FALSE","TRUE","FALSE",1,2,240
